novelid,title,author,tags,synopsis
4472959,她的山，她的海,扶华,花季雨季、情有独钟、边缘恋歌、校园、正剧,"“池塘是一池死水，游鱼愿意住进这个池塘吗？”
“愿意。”
（游余×池唐，校园文）"
4273357,全世界都在等你心动,素西,强强、花季雨季、情有独钟、娱乐圈、轻松,"实体书出版进度关注→wb@砂糖素西
同名广播剧已在饭角上线
本文又名《挚爱影后与她危险又迷人的顾医生》
年少时，言臻就喜欢撩拨顾清河这朵高岭之花，伺机接近、摘取并占为己有，至于成没成功就另当别论了。
直到如今，言臻早已成为受人追捧的高人气影后，初心不改，一心只想摘顾医生那一朵。
她一直以为自己心上人只是“普通人”——
心外科医生，虽生性冷情、禁欲洁癖，但善良且温柔，令人着迷。
当然她还是不能让顾医生心动，言臻为此苦恼。
只是顾清河不这么想，她天生流淌着恶魔之血。
隶属于黑暗的想法早已想将对方拆吃入骨，她会排除所有威胁者，让言臻只能属于自己。
一句话简介：高智商极强占有欲病娇大佬与撩而自知妖精互相扳弯的浪漫爱情喜剧。
阅读须知：
1.本文双向暗恋，甜宠，1v1,he,从校园至社会,慢热.
2.高冷病娇暗黑系学霸顾医生vs撩人伪学渣妖孽影后【顾医生危险等级S+】
3.下一本接档文《绯色恋人》，欢迎收藏。
4.关注围脖@砂糖素西
——接档文《绯色恋人》文案欢迎先收藏——
那天，女孩被捡到了穆家，满身伤痕。
众人疑惑，穆斐如此孤傲冷绝，怎会收留这样一个小结巴。
冷心薄情的女主人感到很头疼，“你打算跟着我到什么时候。”
“您，喜欢，花，我、我想，送给您。”
女孩心生情愫，布满伤痕的小手握着一束紫色小花，递给了这位只属于黑暗的心上人。
十年之后某次颁奖典礼
有人询问她：尤小姐为什么每次露面，总会遮挡脖颈？
尤然表情微妙，只能淡淡地解释：“我大概是怕冷。”
其实，她也很无奈。
毕竟，她爱慕的那位大人是位活了七百多岁挑剔又洁癖的高冷血族，最大的爱好就是——
用尖齿咬她脖颈。
即使是疼得眼泪都掉下来，她也愿意做对方的专属甜品。
因为她终将是属于她的夜莺。
『她唇之上，是我心之所向』
一句话简介：纯情结巴可怜崽（真大佬）被高冷禁欲血族捡到之后，“以下犯上”的浪漫爱情故事。
阅读须知：
1.禁欲傲娇吸血鬼贵族x人间尤物大魔王（实则是纯情结巴小可爱）
2.穆斐大人有两个小爱好：咬尤然后颈；看戏看电影。
3.本文架空，背景私设，微克苏鲁暗黑色彩，请勿深究。
4.双向甜宠/养成/生子/年龄差700岁/HE"
3531308,她属于我,妲婴,都市、情有独钟、婚恋、甜文、轻松,"广播剧已上线～饭角app或者微xin饭角小程序都可收听喔
简体出版名《温暖的调律》，tb、pdd等多平台可购
【本文全订只需4元！】
结婚三年，我本来不喜欢她。
但是她那么可爱，表面上清冷难接近，其实内心细腻，待人真诚，还有一点狡黠的小个性。
她会踩着点的哄我开心，我看在眼里，无论如何都要得到她。
让她属于我，彻彻底底的。
同性可婚，霸道总裁在线夺爱
别问，问就是甜甜甜甜甜甜
-清冷调律师受VS腹黑总裁攻-
年龄差4岁"
1849307,顾小姐和曲小姐,晚之,情有独钟、欢喜冤家、虐文、娱乐圈、轻松,"娱乐圈有两个名字相仿的女人，一个叫曲熙之，一个叫顾熙之，因为出道时间与年龄差不多，二人常常被人拿来比较。
江湖传言，二人的关系差到了极致……"
8554139,月光照不到,冬夜星,虐文、破镜重圆、甜文、正剧、日常、现实,"广播剧在饭角上线，欢迎收听。
*封面来自果仁，感谢。
--------------------
故事简介：
一起被抚养长大，没有血缘关系的姐妹故事。
年龄差六岁。
开篇即重逢。
张扬/纯粹/爱而不得 X 温柔/偏执/患得患失
陈谨悦（24）：
陈谨悦从小是要什么就想方设法得到的性格，这多亏了她妈妈和林韵声对她的溺爱。
却不曾想她人生第一次在这件事上失败，也是因为林韵声。
明明前一晚还爱得热切，结果第二天就红着眼问她“非得什么都要得到才满意吗？”
可这不是你教我的吗？
她弄不懂林韵声，负气离开家六年；她也弄不懂自己，为什么六年了还会为林韵声八字没一撇的「新恋情」心绪起伏，一时冲动回了国。
我一边恨你懦弱，也一边恨自己放不下。
总是爱却得不到，恨又不彻底。
林韵声（30）：
你看着仍然不愿意睁开双眼的陈谨悦。
你想起凯瑟琳说「我是希斯克利夫，他是我，我们的灵魂是同一个。」
现在，你是眼含秋水的哑巴，她是目不忍视的瞎子。你是她，你们的世界又沉沦在同一片深海里。
你抬手把她抱进怀里，靠在座椅上。
——海城的冬天冷得刺骨，却很少下雪。
——我身体里行进的列车又一次开始脱轨。海城没有落下的雪，却总在我心里发生。
--------------------
1.林韵声她爸和陈谨悦她妈搭伙过日子，没领证；
2.林韵声被陈芳带走，是物理意义上的带走，没换户口本；
3.所有人（包括她们自己）都知道双方没有血缘和法律意义上的关系。
1V1，互攻偏年上，HE"
5870745,难缠,鱼霜,情有独钟、打脸、甜文、直播、轻松,"难缠同名广播剧在饭角已完结，欢迎收听！
实体可关注作者微博后续。
相恋两年，陆枕秋发现女友唐迎夏出轨了，她没有质问，没有大吵大闹，而是连夜让好友帮自己找处新住所，搬家走人。
好巧不巧，新房东是唐迎夏的死对头靳水澜，靳水澜知名作家兼编剧，性格冷僻，不好相处，圈内典型的高岭之花，简称孤寡。她追求者无数，但向来不假辞色，没有任何绯闻对象，谁都不知道她心里藏着一个人。
后来这个人半夜敲开她的门，住进她的房子。
小剧场：
新书销量不错，杂志社想同靳水澜做一次线上直播，邀请好几个嘉宾，唐迎夏也在其中。开播没多久，靳水澜那端传来几声狗叫，镜头里出现一只金毛，编辑疑惑道:“靳老师不是不养狗吗?”
孤寡王者靳水澜淡笑解释:“是我女朋友养的。”
满直播间的读者:草! ! !
唐迎夏看见金毛的定制项圈蹭一下站起身，脸都绿了。
食用须知：
1.虐渣，秀恩爱，11月17号v。
2.文是猫写的。
3.去留随意，无须告知。"
4131915,合久不分,鱼霜,生子、娱乐圈、婚恋、甜文、轻松,"合久不分同名广播剧在饭角已上线，欢迎收听！
实体可关注作者微博后续。
结婚前，纪云昕坐在沙发上，谈判的架势：“简小姐，除了婚姻，我什么要求都可以答应你。”
简烟看眼喜欢多年的人，低头：“我只想和你结婚。”
纪云昕考虑几分钟，在结婚协议书上签了自己名字。
隐婚三年，相敬如冰，简烟出去旅游一趟回来终于想清楚，决定放纪云昕自由，她捏着离婚协议书找纪云昕，几分钟后，签了。
离婚后的简烟在娱乐圈混的风生水起，吃好睡好气色好资源更好，唯一不好的是，她发现自己——怀孕了。
孩子还是纪云昕的。
食用须知：
1.俗文，老梗，狗血多，去留随意，不必告知。
2.生子梗需要药物辅助。微博：晋江鱼霜。
3.本文将于12月26日从入v，谢谢大家一直以来的支持，往后也请继续支持。"
6169726,死遁后，女主为我入魔了,人间甜橙,强强、相爱相杀、穿书、正剧,"万人迷江秋渔穿进了一本小说，成了书中暗恋男主，百般羞辱女主的反派魔尊。
魔尊实力强大，容貌姝艳，却天生残暴嗜血，还绑架了作为正道之光的男女主。
按照剧情，她将对男主一见钟情，可男主却宁死不从，魔尊因此恼羞成怒，恨上了作为男主心上人的女主。
江秋渔看了看一脸倔强的男主，又看了看面色冷淡的女主，衣袖一挥，“都送到我房里吧！”
系统：我懂，你一定是想当着女主的面轻薄男主，对吧？
然后它眼睁睁地看着江秋渔表面上对女主心狠手辣，实则却百般温柔；对男主则如同寒风般凛冽无情，毫不手软。
系统：陷入沉思.jpg
江秋渔：原著又没说，爱不能是扭曲变态的爱，恨不能是笑里藏刀的恨，对吧？
——
林惊微性格淡漠，一心向道，哪怕是面对江秋渔浓艳惑人的姿容，也能无波无澜。
她假意被捕，实则是为了里应外合，摧毁魔界。
计划很顺利，正道人士攻进来的那一天，江秋渔穿着红衣，眉眼含笑地看着她。
林惊微突然觉得心慌，承诺道：“我不会伤害你，只是魔界…不该滥杀无辜之人。”
江秋渔的手指抚上了她的脸颊，声音温柔，“听说你是修无情道的，那我再帮你最后一次吧。”
帮你，杀妻证道。
——
听说身为正道之光的清蘅君林惊微陨落了，明明是除魔第一人，却在上任魔尊身死后入了魔。
对面的小姑娘满脸可惜。
江秋渔倚在窗边，青丝松散，随口应和道：“是啊，真可惜。”
可是那跟我有什么关系呢。
潇洒万人迷受vs前期淡漠后期深情攻
【封面人设授权画师：三叶草-多多】
————
预收文《死了一百年的前道侣回来了》
江枕云死后穿进一本修仙文里，成了女主清澜剑尊贺秋晚的未婚妻。
系统告诉江枕云：贺秋晚乃修真世家出身，天赋极高，一把离拆剑斩魂无数，是惊世绝艳的天之骄女。
她会一路打脸炮灰，修为猛增，最后成功飞升成神。
江枕云心中一喜，刚准备抱大佬的大腿，就发现事情有点不对劲。
因为在原著里，这位未婚妻就是个彻彻底底的炮灰反派！
她因为嫉妒女主的绝高天赋，竟然堕入魔道，妄想夺取女主的天生剑骨。
最后反被女主识破她的真面目，女主大义灭亲，将她一剑斩杀，没想到反而因此勘破了无情道的法则，从此断情绝爱，修炼速度一日千里。
江枕云：我有一句脏话不知道该不该讲：）
现在剧情已经进行到未婚妻堕入魔道，与魔族做了交易，准备谋取女主的天生剑骨了。
江枕云沉吟半晌，主动拍碎了自己的金丹，衣衫凌乱，浑身是血地摔进了女主的怀里。
她面颊苍白，唇边却有一抹刺眼的红渍，泪光盈盈地看着贺秋晚，眸中爱恋与不舍交织。
“阿晚，我中了魔族的奸计，魔气入体，恐怕很快就要堕落成魔了，我不想变成丑陋邪恶的魔族。”
“你杀了我吧，能死在你的手里，也值了。”
女子金丹俱碎，虚弱至极，像一朵即将凋零的花。
她染血的指尖抚上贺秋晚的脸，“死之前，就让我最后放纵一回吧。”
唇边一热。
贺秋晚倏然睁大了眼。
———
贺秋晚不通情爱，性格淡漠。
一开始把江枕云带在身边，是因为她未能保护好她，致使她魔气入体，性命垂危，这是她应负的责任。
后来她对江枕云予取予求，把所有天材地宝都捧到江枕云面前讨她欢心，甚至甘愿忍受骨肉分离，灵魂俱裂的痛苦，剥下自己的剑骨为她疗伤，是因为她爱江枕云。
贺秋晚用自己的命，为江枕云铺了一条坦荡顺遂的修仙路。
她以为这也算一种圆满。
———
前道侣死后的第一百年，江枕云喝醉了酒，躺在美人的腿上，说起了自己的从前：“人呐，就不该认命，谁知道未来会怎样呢？”
话音刚落，屋内阴风大作，在阵阵恶鬼的哭嚎声中，她那死了一百年的前道侣正阴森森地看着她。
“你说得对，所以阿云，你拍碎自己的金丹，骗我为你舍生忘死，甚至蛊惑我剥下剑骨给你的时候……”
“有没有想过，有朝一日，我还会回来呢？”
一心苟命八百个心眼子蛇蝎美人受VS前高岭之花后来被老婆逼到黑化疯批攻
【攻变成恶鬼归来是受努力的结果，她们是真爱啦】
【攻受身心皆只有彼此】
点击专栏即可收藏，么么啾！"
3237823,情深逢时,苏楼洛,情有独钟、青梅竹马、治愈、暗恋、先婚后爱、日久生情,"本文已签约大陆简体出版，尚未发售，了解进度请关注@苏楼洛
不关注也行的，有重要进度我会更新在文案上
——
结婚前，温轻寒对时清秋说，我没有时间去认识太多的人，了解一番还要费时费力。不如你我在一起，知根知底，省时省力。
这是一个暗恋终成的故事。
七年如昔，情深终归逢时。
——
同性可婚，先婚后爱
不合心意建议及时止损，咱们有缘再见，谢谢您。"
2309088,孤掷温柔gl,闵然,都市、情有独钟、天作之合、正剧,"陆子筝是没钱没势没人缘的小家碧玉，江怀溪是有权有势有名望的大家闺秀，虽说都是公认的面瘫冷美人，总被人放在一起比较，陆子筝却是自认与她井水不犯河水。哪知莫名其妙的一次相遇后，大家闺秀却是对她，拉拉扯扯，软硬兼施，纠缠不休，没完没了……
喂，说好的大家闺秀呢？！
有钱，就是任性！
傲娇弱攻遇上女王诱受，且看冰山如何捂热石头，百炼钢如何化为绕指柔。
攻略难度，满级；幸福指数，满分。
这里是作者君的新文
余生为期
然后这里还有作者君的其他文章
闵然专栏
欢迎喜欢的朋友点击收藏哟"
